All children:
[ , , , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[◯, , , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , , , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , , , , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯, , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[◯, , , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯,◯] Steps: 3 | Player: Min | Score: 4
[◯, , , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[◯, , , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[◯,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯, , , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[◯,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯, , ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[◯,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
